JobTitle,ExperienceRequired,Location,CompanyName,JobDescriptionPage,Keyskill,JobDescription,Salary
Assistant Manager - Data Analytics - Big4,8-11 yrs,"Gurgaon, Kerala",HR SYNERGY,https://www.naukri.com/job-listings-Assistant-Manager-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Kerala-8-to-11-years-290818901989?src=jobsearchDesk&sid=15383328622468&xp=23&px=1,"SQL, Excel, Javascript, XML, SAS, SPSS, Data Analytics, People Skills...","-	Experience with one or more general purpose programming languages including but not limited to: Java, ...",  Not disclosed 
Business Analyst/senior Business Analyst - Data Analytics- BFSI Domain,2-5 yrs,"Delhi NCR, Bengaluru, Gurgaon",HuQuo,https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-Domain-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-2-to-5-years-230818900443?src=jobsearchDesk&sid=15383328622468&xp=24&px=1,"Business Analysis, Excel, Data Analytics, SAS, VBA, Problem Solving...","- Experience working with modern web technologies;- Experience architecting and developing high-volume, ...",  Not disclosed 
Senior Associate Data Analytics - Big4,5-10 yrs,"Gurgaon, Trivandrum",HR SYNERGY,https://www.naukri.com/job-listings-Senior-Associate-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Trivandrum-5-to-10-years-140818900615?src=jobsearchDesk&sid=15383328622468&xp=25&px=1,"auditing, data analytics, process improvement, Analytics, SQL, SSIS, SSRS...",Knowledge Advisor should be able to architect knowledge management and delivery strategy for the ...,  Not disclosed 
Vice President (V) - Data Analytics,10-20 yrs,"Mumbai, Delhi NCR, Bengaluru",Destination HR,https://www.naukri.com/job-listings-Vice-President-V-Data-Analytics-Destination-HR-Mumbai-Delhi-NCR-Bengaluru-10-to-20-years-200918000679?src=jobsearchDesk&sid=15383328622468&xp=26&px=1,"data analytics, data modeling, data mining, data extraction, senior analyst...","Role : Application DeveloperRole Description : Design,  build and configure applications to meet ...",  Not disclosed 
DATA Analytics / DATA Science / Analyst - BI / SAS / R / Python / RPA,0-5 yrs,"Delhi NCR, Gurgaon, Noida",SLA Consultants India,https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-BI-SAS-R-Python-RPA-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-300818000391?src=jobsearchDesk&sid=15383328622468&xp=27&px=1,"data Analyst, reporting analyst, SAS, statistics, sas programmer...",Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,"    2,00,000 - 4,25,000 P.A.  "
Data Analytics/data Miner US Healthcare Domain/ UK Shift,3-5 yrs,Gurgaon,Next Step Services Private Limited,https://www.naukri.com/job-listings-Data-Analytics-data-Miner-US-Healthcare-Domain-UK-Shift-Next-Step-Services-Private-Limited-Gurgaon-3-to-5-years-210818007692?src=jobsearchDesk&sid=15383328622468&xp=28&px=1,"Advanced Excel, Data Analysis, Time Series, Data Mining, SAS...",8-10 years of experience preferably in HRIS/ IT/ HR in cross cultural environment;- Must Have: 4-5 years ...,  Not disclosed 
Business Analyst/senior Business Analyst - Data Analytics - BFSI,2-5 yrs,Delhi NCR,HuQuo Consulting Pvt. Ltd.,https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-HuQuo-Consulting-Pvt-Ltd-Delhi-NCR-2-to-5-years-210818001201?src=jobsearchDesk&sid=15383328622468&xp=29&px=1,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, SAS,...",- You should be able to build a custom Function Module with medium complexity program logic;- As a ...,  Not disclosed 
Senior Engineer - Data Analytics/ Machine Learning,2-7 yrs,"Chennai, Gurgaon",Fsck System Services  Private Limited,https://www.naukri.com/job-listings-Senior-Engineer-Data-Analytics-Machine-Learning-Fsck-System-Services-Private-Limited-Chennai-Gurgaon-2-to-7-years-290818003443?src=jobsearchDesk&sid=15383328622468&xp=30&px=1,"Hadoop, Hive, NoSQL, Spark, Cassandra, Neo4J, Artificial Intelligence...",Primary Responsibilities:  Analyze large volume of data and define clear strategy in analytical work ...,  Not disclosed 
Immediate Job Opening for Data Analytics @ MNC,2-6 yrs,"Bengaluru, Hyderabad, Mumbai, Delhi NCR",Live connections,https://www.naukri.com/job-listings-Immediate-Opening-for-Data-Analytics-MNC-Live-connections-Bengaluru-Hyderabad-Mumbai-Delhi-NCR-2-to-6-years-210918007989?src=jobsearchDesk&sid=15383328622468&xp=31&px=1,"data analytics, sql, R, PYTHON, Machine Learning",Candidates should have Banking and Insurance ...,"    1,25,000 - 6,25,000 P.A.  "
Professor - Data Analytics and Data Sciences,10-15 yrs,Delhi,Indian Institute of Technology Delhi,https://www.naukri.com/job-listings-Professor-Data-Analytics-and-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-10-to-15-years-260318900475?src=jobsearchDesk&sid=15383328622468&xp=32&px=1,"C#, Design Patterns, UML, .Net, OOAD, Software Architecture, C#.Net...","- Incumbent must have Operational understanding includes classical regression, statistical methods like ...",    Pay Scale: Pay Band : Rs.37400-67000(minimum pay of Rs....  
Assistant Professor (Grade I) - Data Analytics And Data Sciences,3-5 yrs,Delhi,Indian Institute of Technology Delhi,https://www.naukri.com/job-listings-Assistant-Professor-Grade-I-Data-Analytics-And-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-3-to-5-years-150518900629?src=jobsearchDesk&sid=15383328622468&xp=33&px=1,"Presales, Consulting, Change management, Content management...",The person should have experience of 7-9 years using analytics in Insurance projects;The person should ...,    Pay Level 12 (Rs.101500-167400) with minimum Pay of Rs....  
Technical Architect - .net/ C#,15-18 yrs,"Gurgaon, Noida",Brainsearch Consulting Pvt Ltd.,https://www.naukri.com/job-listings-Technical-Architect-net-C-Brainsearch-Consulting-Pvt-Ltd-Gurgaon-Noida-15-to-18-years-280918901183?src=jobsearchDesk&sid=15383328622468&xp=34&px=1,"XML, Virtualization, Business process, Outsourcing, Operations...",- Experience with building insights using varied/alternate data sources;- Experience with large data ...,  Not disclosed 
CN - Strategy - Knowledge Advisor F&EP - 7,2-6 yrs,Gurgaon,Accenture,https://www.naukri.com/job-listings-CN-Strategy-Knowledge-Advisor-F-EP-7-Accenture-Gurgaon-2-to-6-years-280918900411?src=jobsearchDesk&sid=15383328622468&xp=35&px=1,"SQL, XML, JSON, Business process, Solution architecture, Outsourcing...",Job Description:  - Work with the team to build and support thesqua.re and all its affiliated ...,  Not disclosed 
Application Developer,2-5 yrs,Gurgaon,Accenture,https://www.naukri.com/job-listings-Application-Developer-Accenture-Gurgaon-2-to-5-years-280918900381?src=jobsearchDesk&sid=15383328622468&xp=36&px=1,"HR, Performance Appraisal, HRIS, Recruitment, Taleo, Oracle Support, SQL...","- At least 2-3 years of work experience in data analysis, business intelligence, and analytics reporting ...",  Not disclosed 
Application Developer,2-5 yrs,Gurgaon,Accenture,https://www.naukri.com/job-listings-Application-Developer-Accenture-Gurgaon-2-to-5-years-280918900336?src=jobsearchDesk&sid=15383328622468&xp=37&px=1,"Data Analytics, Big Data, Analytics, Analytics Big Data","o	Experience with industry-leading business intelligence platforms, including Qlik, Tableau, ...",  Not disclosed 
AM / DM -taleo Recruitment,8-10 yrs,Noida,Outgrow Consulting,https://www.naukri.com/job-listings-AM-DM-taleo-Recruitment-Outgrow-Consulting-Noida-8-to-10-years-280918900053?src=jobsearchDesk&sid=15383328622468&xp=38&px=1,"data analytics, SAS, SSIS","o	Experience in writing proposals, coming up with solutions to address customers business needs, ...",  Not disclosed 
Hadoop/big Data Consultant - Splunk,8-10 yrs,"Delhi NCR, Noida",Premium,https://www.naukri.com/job-listings-Hadoop-big-Data-Consultant-Splunk-Delhi-NCR-Noida-8-to-10-years-280918003812?src=jobsearchDesk&sid=15383328622468&xp=39&px=1,"Predictive Modeling, statistical modeling, Machine Learning, Analytics",* Must have at least 3+ Years of experience in a similar role;* Specialized knowledge: Hands-on ...,  Not disclosed 
